,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,SS36,SS37,SS38,SS39,SS40,SS41,SS42,SS43,SS44,SS45,SS46,SS47,SS48,SS49,SS50,SS51,SS52,SS53,SS54,SS55,SS56,SS57,SS58,SS59,SS60,SS61,SS62,SS63,SS64,SS65,SS66,SS67,SS68,SS69,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,A1,A2,A3,A4,A5,A,B,C,D,E,F,G
SS11,0.9999999,0.47960094,0.3942709,0.5975225,0.47375834,0.5258007,0.5395861,0.6050766,0.40940726,0.4057236,0.3234659,0.35183355,0.3102054,0.43929988,0.29479682,0.39436838,0.34565854,0.3488687,0.33008468,0.43640268,0.312658,0.24562196,0.38785025,0.27704668,0.34711623,0.28215834,0.21491876,0.28837,0.26412457,0.2735631,0.28556114,0.31966037,0.23589711,0.3075946,0.23381557,0.27006778,0.1596942,0.35763472,0.29655695,0.29455543,0.30260846,0.26105276,0.2731013,0.2822496,0.3181045,0.40434122,0.31086883,0.30665246,0.27986944,0.38066038,0.2843595,0.35519847,0.26258603,0.07301735,0.28789514,0.4535045,0.3844366,0.30077434,0.40918547,0.2790403,0.27544764,0.38114494,0.5349117,0.23693742,0.33208942,0.42212227,0.69155115,0.38242385,0.5255435,0.31182677,0.33297175,0.5668659,0.47249687,0.365319,0.36602587,0.3913489,0.47407773,0.39653662,0.33361605,0.3706268,0.4503203,0.24444376,0.41893393,0.43534625,0.3253708,0.4207518,0.24853142,0.38517103,0.40319434,0.3235896,0.2370338,0.31424224,0.33100155,0.42182204,0.17103308,0.24158667,0.26525122,0.24476354,0.32056582,0.33676976,0.4030037
SS12,0.47960094,1.0000002,0.4816711,0.57892406,0.35777658,0.49766552,0.20923606,0.3172451,0.3769901,0.29200846,0.35156748,0.40234792,0.2515292,0.28239,0.31899917,0.48058912,0.29667017,0.29712334,0.36852682,0.28623807,0.27925926,0.22677279,0.5594935,0.32497326,0.4225405,0.30575675,0.25114995,0.34136087,0.33299524,0.2523641,0.2355505,0.26683116,0.2156895,0.18511948,0.13581353,0.22998133,0.09201126,0.32406524,0.23135711,0.27920884,0.30042487,0.29093632,0.28098023,0.31700724,0.21308035,0.24143812,0.37520617,0.25286466,0.29327643,0.2678517,0.25926208,0.26919514,0.28457046,0.118449524,0.27752653,0.39748982,0.4926803,0.22252084,0.38035843,0.17796215,0.27458948,0.31915474,0.57863677,0.123329304,0.25776786,0.33038676,0.39218864,0.3109196,0.52558875,0.34298033,0.21429129,0.57079905,0.4525052,0.3265108,0.37590128,0.20786996,0.5425384,0.48613065,0.24163948,0.4527396,0.4191422,0.15632798,0.3385511,0.49615678,0.2020295,0.51133454,0.26542327,0.33983862,0.4021485,0.24272105,0.26451692,0.37932152,0.43620282,0.35383448,0.04704759,0.24610561,0.30006063,0.21733932,0.31558657,0.34876585,0.5041861
SS13,0.3942709,0.4816711,1.0000002,0.4830708,0.3535309,0.34528038,0.26722902,0.41867194,0.321446,0.2829994,0.25326413,0.24523763,0.23588309,0.2769423,0.22322088,0.35522237,0.23362009,0.28007552,0.3146851,0.30672866,0.31515604,0.16921629,0.36650014,0.20122032,0.20800708,0.2329725,0.1371556,0.22099039,0.22606897,0.17424333,0.21231851,0.16449651,0.13028972,0.17967181,0.14327368,0.18309057,0.084745154,0.21307898,0.28600067,0.26400936,0.3368441,0.27250022,0.22880247,0.23819041,0.1841711,0.19846812,0.35841545,0.3438276,0.30796948,0.21428463,0.19034988,0.24120869,0.17291956,0.10795995,0.17909469,0.30350977,0.249348,0.14252844,0.29687685,0.15309651,0.19306532,0.22841421,0.33738527,0.12827055,0.17108737,0.31405577,0.42507225,0.26540762,0.3381487,0.29231733,0.33467802,0.3711303,0.34482712,0.19810209,0.24121398,0.1461727,0.37206468,0.4371697,0.21548095,0.35952505,0.2660205,0.1152846,0.27669787,0.2729115,0.17373592,0.3277165,0.21252325,0.28407362,0.3255865,0.2317412,0.1683328,0.24462421,0.28100756,0.30483335,0.10492907,0.13675314,0.21801324,0.24901305,0.23774739,0.3326596,0.35253918
SS14,0.5975225,0.57892406,0.4830708,1.0000001,0.4643259,0.53677404,0.36626697,0.478608,0.45726153,0.42131385,0.3357395,0.4099179,0.32775396,0.3906376,0.3801353,0.38208959,0.33472785,0.37211952,0.4021467,0.43988785,0.43204194,0.22047561,0.54087836,0.35649982,0.4957491,0.3374314,0.25451314,0.37174845,0.23209907,0.25882316,0.3594485,0.3437853,0.2298334,0.24596529,0.15996173,0.21599397,0.09159871,0.27199745,0.35983217,0.28330055,0.3521548,0.31395596,0.2667614,0.2722156,0.27782327,0.33287972,0.3832959,0.26145688,0.29812285,0.34071237,0.24823812,0.31924835,0.25395072,0.11143861,0.2828052,0.3351998,0.47661346,0.243399,0.40315711,0.19319633,0.22652368,0.3843827,0.49098128,0.23508623,0.34992126,0.41439074,0.53830314,0.37052292,0.68851554,0.3543853,0.3332658,0.5832185,0.48099685,0.32290474,0.3307329,0.31836975,0.4031284,0.37875426,0.35151654,0.4213824,0.43811908,0.20623663,0.4033634,0.61884505,0.29164755,0.41594267,0.27971137,0.4248966,0.44851363,0.24531904,0.27051753,0.31998053,0.39157698,0.39859515,0.116346546,0.23254928,0.25963333,0.23898116,0.30036658,0.35525003,0.4080584
SS15,0.47375834,0.35777658,0.3535309,0.4643259,1.0000001,0.36944538,0.45737115,0.56256235,0.37718982,0.34074563,0.22615877,0.42485803,0.34666514,0.30398712,0.3925509,0.4422242,0.38470978,0.38693756,0.36641207,0.44414914,0.35681096,0.30269292,0.5244626,0.39774418,0.4301536,0.18771979,0.13574268,0.20082873,0.17929718,0.15204842,0.13718039,0.2317523,0.20048995,0.26341677,0.21927328,0.16884619,0.11262843,0.23256314,0.22624284,0.292007,0.26424158,0.16090658,0.22630489,0.27072558,0.26083,0.15775481,0.22401379,0.32720226,0.19264129,0.2604034,0.23512223,0.32778814,0.20545001,0.096803226,0.2172691,0.3134911,0.22854482,0.123298645,0.373829,0.17240456,0.25189364,0.30572015,0.4958909,0.25323915,0.31237024,0.5038526,0.5556827,0.43705449,0.4934236,0.5235423,0.33604577,0.48590583,0.34372777,0.28231612,0.3209436,0.36553857,0.33501455,0.21702686,0.4368471,0.3940796,0.51546264,0.13839817,0.31997767,0.3921094,0.30438933,0.40100712,0.324984,0.37385845,0.45357788,0.2521302,0.166103,0.2552933,0.3339814,0.44976327,0.17783457,0.17616466,0.25220922,0.2843745,0.41424116,0.3958694,0.49148268
SS16,0.5258007,0.49766552,0.34528038,0.53677404,0.36944538,0.99999994,0.37268406,0.4426567,0.57356244,0.5907412,0.35897964,0.3516939,0.40377593,0.29829907,0.32303867,0.29884043,0.317742,0.3594461,0.36509192,0.33906683,0.31876343,0.220786,0.4378969,0.29374248,0.39070666,0.45907664,0.4488576,0.47783545,0.18244831,0.2077394,0.23356286,0.3122726,0.19105348,0.22550158,0.18754727,0.22158639,0.14846006,0.26030648,0.2978061,0.28052962,0.34316036,0.38780805,0.2955709,0.30768168,0.30226743,0.21253335,0.24701612,0.23163183,0.22428824,0.287529,0.36215606,0.35355717,0.35994497,0.19582069,0.41709355,0.5947516,0.56757206,0.3586259,0.5059912,0.22571766,0.23282468,0.31796888,0.4877182,0.19905,0.2369678,0.34824723,0.4519546,0.3128498,0.47983378,0.25217953,0.30760783,0.6205861,0.4689189,0.3003412,0.28837976,0.26661742,0.41625422,0.1944682,0.27892008,0.37968558,0.35521477,0.16839537,0.25064364,0.53226244,0.24190018,0.51382977,0.21824144,0.29531235,0.2879728,0.25899068,0.2576524,0.4322107,0.28132483,0.38984272,0.12928733,0.19648959,0.33645317,0.26517332,0.39086968,0.26797366,0.37377203
SS17,0.5395861,0.20923606,0.26722902,0.36626697,0.45737115,0.37268406,1.0000001,0.7209169,0.2918208,0.37977397,0.22851555,0.27273816,0.2763613,0.35939482,0.17260815,0.2977215,0.35230252,0.31885868,0.30705595,0.4486977,0.28459194,0.23921919,0.3013175,0.32488087,0.32889104,0.14269337,0.06816454,0.1356521,0.15411034,0.11617892,0.13057762,0.2553048,0.19564325,0.2793341,0.25632054,0.21459365,0.18797386,0.2624814,0.20033273,0.22894785,0.21005586,0.21948841,0.24446394,0.22545913,0.3901652,0.24068834,0.24295391,0.3451499,0.19223103,0.32598737,0.28264624,0.3414098,0.21635805,0.12977214,0.19749154,0.3162523,0.24680147,0.26130867,0.44041812,0.2747801,0.30776033,0.26465312,0.41478196,0.30073777,0.32664797,0.42437142,0.64037204,0.38522068,0.39512613,0.30301878,0.293635,0.40669298,0.37020296,0.29948005,0.27102146,0.3299045,0.39862415,0.32484075,0.3863805,0.33803323,0.3464902,0.22713782,0.30925748,0.31482357,0.24486285,0.2971778,0.27069622,0.29222742,0.31896698,0.2704078,0.090600476,0.2522637,0.31506425,0.3971561,0.23956567,0.10348107,0.30689177,0.2239233,0.37649202,0.44761425,0.38972872
SS18,0.6050766,0.3172451,0.41867194,0.478608,0.56256235,0.4426567,0.7209169,1.0,0.3387884,0.364398,0.30928323,0.27080458,0.29482615,0.40575778,0.3008741,0.39160174,0.40706578,0.43970954,0.45956004,0.52345765,0.3640716,0.28730303,0.39577085,0.34283814,0.34646615,0.27630714,0.1750434,0.24004374,0.22893181,0.23561987,0.23532882,0.33961034,0.24598078,0.366344,0.34761074,0.25038663,0.19448958,0.3153284,0.34710827,0.31630012,0.27123785,0.24120283,0.3405866,0.26742324,0.38366634,0.35416967,0.43076348,0.47431362,0.27794498,0.43177122,0.31991416,0.3145343,0.2638528,0.14110832,0.2429815,0.3897506,0.31088012,0.2543126,0.46821156,0.31212947,0.25839484,0.37151092,0.5590595,0.3020712,0.3692501,0.48913068,0.7352466,0.41302395,0.4242694,0.35997495,0.34211186,0.4122526,0.3492001,0.38248137,0.3771484,0.3912505,0.46258986,0.39289078,0.46966255,0.37584862,0.37575173,0.27107728,0.3231047,0.34257346,0.26652417,0.415672,0.39683238,0.44516525,0.4115684,0.3302597,0.17095584,0.27622542,0.38646954,0.46581066,0.2680526,0.19985585,0.31009778,0.28136855,0.3980876,0.6100301,0.4559332
SS19,0.40940726,0.3769901,0.321446,0.45726153,0.37718982,0.57356244,0.2918208,0.3387884,1.0,0.8507139,0.48679426,0.5560164,0.44576162,0.27054697,0.35121188,0.21466814,0.22050479,0.28610632,0.2828169,0.26336458,0.29760835,0.1691337,0.3799078,0.3100025,0.33515054,0.26415455,0.38720882,0.3790292,0.046669867,0.11004162,0.108460754,0.2269418,0.22588144,0.19058952,0.1534372,0.20836183,0.10714071,0.21840674,0.29556185,0.19134228,0.27023318,0.34364137,0.21903923,0.26449534,0.2763042,0.23168822,0.23822504,0.16970634,0.23774505,0.36604434,0.44375688,0.49087805,0.4089586,0.26105988,0.5047661,0.5427339,0.5342427,0.38808608,0.542172,0.18045586,0.25527057,0.23805071,0.42011315,0.2071818,0.1910373,0.34171033,0.3122765,0.26545703,0.54067653,0.26276392,0.355082,0.6944555,0.5217328,0.27870482,0.1884416,0.26769593,0.30136827,0.18732603,0.2740489,0.33405104,0.3974715,0.2111398,0.2582889,0.49488577,0.29814634,0.40365988,0.18851694,0.283687,0.23573361,0.22702497,0.13348798,0.49089533,0.25012815,0.30366933,0.1396712,0.11841709,0.41560555,0.22526807,0.34561175,0.25338385,0.35527825
SS20,0.4057236,0.29200846,0.2829994,0.42131385,0.34074563,0.5907412,0.37977397,0.364398,0.8507139,0.99999994,0.4610277,0.47278577,0.46104625,0.31965536,0.34251085,0.22707897,0.211936,0.32108134,0.29181033,0.30137894,0.29431188,0.14013614,0.36125073,0.29106307,0.31859213,0.24280787,0.35684446,0.3510362,0.053808246,0.07924007,0.10174683,0.23655984,0.22007169,0.20301773,0.18906568,0.23721924,0.14363913,0.23759559,0.29768866,0.25729308,0.31857836,0.36072326,0.23236297,0.27475664,0.31195295,0.23004717,0.197983,0.18324935,0.21816951,0.3582027,0.46247345,0.51210356,0.44451737,0.3241663,0.5704463,0.52067256,0.5247011,0.45550492,0.5220271,0.20626971,0.31534523,0.21383888,0.37538666,0.26423183,0.1498222,0.32633296,0.331088,0.24974605,0.51254284,0.23776314,0.4514079,0.64635,0.49196827,0.30390912,0.16565068,0.24309056,0.28911683,0.18719871,0.23776917,0.309462,0.37053084,0.328803,0.27384818,0.4849736,0.28197417,0.38671255,0.19327499,0.27715313,0.17800145,0.21244138,0.13634263,0.46649876,0.20563732,0.26323852,0.14838408,0.11938996,0.43378246,0.25796852,0.3199119,0.26244146,0.3121657
