,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,SS36,SS37,SS38,SS39,SS40,SS41,SS42,SS43,SS44,SS45,SS46,SS47,SS48,SS49,SS50,SS51,SS52,SS53,SS54,SS55,SS56,SS57,SS58,SS59,SS60,SS61,SS62,SS63,SS64,SS65,SS66,SS67,SS68,SS69,P1,P2,P3,P4,P5,P6,P7,N1,N2,N3,N4,N5,N6,N7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,A1,A2,A3,A4,A5,A,B,C,D,E,F,G
SS11,0.99999994,0.4236289,0.5968518,0.6088066,0.62195903,0.5359603,0.51864576,0.6578178,0.4367294,0.4420101,0.5063438,0.39786077,0.35034966,0.5301596,0.28425455,0.3847784,0.3066367,0.33170435,0.26187214,0.39386657,0.29335618,0.34269446,0.4289934,0.18501446,0.32747614,0.40956905,0.42745095,0.48411998,0.34372,0.4401146,0.39071804,0.4078951,0.31444782,0.35609382,0.38649544,0.39698055,0.208401,0.39406574,0.41063282,0.3696499,0.34767902,0.4538264,0.37846792,0.4104603,0.33351493,0.6472205,0.47042876,0.41734716,0.4022141,0.490733,0.3981337,0.2330114,0.21357785,0.33213952,0.37828445,0.5441379,0.52441657,0.45124745,0.44348967,0.26291832,0.23672917,0.36358595,0.43525347,0.29920256,0.3067427,0.45787024,0.67398304,0.48386562,0.5112729,0.24824616,0.26943392,0.44077122,0.46790427,0.31370026,0.3984709,0.37815392,0.34169766,0.37501448,0.34285784,0.25909087,0.43310297,0.41894996,0.35282794,0.3110177,0.36910826,0.22983725,0.36818552,0.35460764,0.40359688,0.26511127,0.3378794,0.35919183,0.25362867,0.39179865,0.23251963,0.31683996,0.32136172,0.39811265,0.44258022,0.44302085,0.31462625
SS12,0.4236289,1.0,0.6119034,0.4675834,0.46057913,0.4578054,0.2026431,0.3356554,0.44711214,0.3778637,0.46160397,0.4623714,0.25515014,0.37875956,0.3917545,0.51672447,0.13626085,0.48342815,0.39728072,0.38105083,0.37841362,0.18321034,0.50672036,0.27805904,0.32789183,0.26388514,0.22228399,0.36128664,0.26995292,0.2827227,0.21907243,0.17797497,0.2740029,0.28696722,0.35536247,0.35045192,0.1563994,0.3795728,0.4221721,0.3887824,0.3258835,0.37390542,0.38927987,0.35213977,0.22217673,0.35792473,0.48536587,0.42835462,0.48645934,0.39277577,0.47061914,0.2813677,0.30117857,0.34644967,0.33832106,0.49876153,0.52273333,0.4464175,0.28623855,0.26421115,0.3075579,0.22345206,0.49963093,0.22242111,0.2586122,0.24334544,0.2536431,0.32831407,0.4249753,0.47766382,0.24940684,0.50371695,0.45253325,0.37563866,0.2984497,0.25586283,0.41571203,0.5418326,0.2139182,0.5487451,0.47290117,0.32981312,0.38132444,0.40069774,0.22659414,0.4176138,0.37828675,0.29974747,0.47011793,0.22168429,0.15643324,0.2492187,0.3255591,0.0948803,0.16508502,0.13515764,0.24988665,0.37856296,0.28559127,0.49320626,0.5090505
SS13,0.5968518,0.6119034,1.0,0.5671142,0.5274427,0.5370931,0.3627789,0.4764066,0.53051364,0.53587633,0.4922596,0.40267372,0.32679796,0.47548518,0.28042075,0.43824843,0.19789256,0.40603736,0.29909968,0.40444252,0.27335593,0.25173524,0.49089378,0.25755608,0.34341162,0.35186946,0.34533775,0.42227104,0.40432188,0.34388533,0.28680018,0.28135723,0.36632583,0.40193173,0.42489615,0.4286074,0.2717847,0.49114636,0.49090043,0.45032135,0.40377957,0.46188658,0.42916483,0.35936502,0.31349388,0.5063509,0.49334815,0.46949005,0.54676926,0.45460406,0.48087052,0.27546963,0.3145704,0.42054492,0.40365958,0.5024183,0.50316155,0.47513756,0.4169191,0.3480378,0.29703102,0.34821498,0.42012715,0.30955756,0.37816066,0.42175445,0.55941653,0.4519694,0.55655307,0.43617442,0.40497726,0.58855164,0.54004776,0.45222828,0.29598564,0.35178307,0.3880821,0.55716634,0.25258946,0.47221678,0.46357763,0.44826147,0.34026808,0.39577788,0.30002323,0.41267326,0.39679655,0.49138093,0.46587518,0.35800388,0.2878382,0.33263263,0.29539317,0.31455588,0.3072665,0.28971323,0.35083508,0.47820854,0.4375357,0.47937304,0.433995
SS14,0.6088066,0.4675834,0.5671142,0.9999999,0.50851274,0.4458532,0.23837776,0.42948264,0.44983572,0.42878163,0.3973372,0.4563486,0.28607094,0.5546261,0.37072098,0.39639905,0.14192808,0.42544225,0.37623593,0.49529874,0.43743896,0.19999793,0.5878744,0.31380716,0.39113927,0.31173858,0.29217416,0.41665888,0.3118355,0.4464872,0.41883925,0.31149918,0.31261802,0.3875659,0.3732154,0.3726743,0.21825245,0.3690509,0.43943954,0.3303085,0.41510987,0.37094104,0.41160172,0.35609397,0.21070567,0.5782703,0.48818403,0.37199363,0.36568943,0.35054514,0.40378067,0.26257327,0.2796588,0.3368206,0.31185794,0.41583937,0.49299377,0.4026848,0.32758212,0.22205697,0.2373445,0.30255246,0.35586122,0.26588547,0.33461037,0.33156306,0.39215156,0.40432006,0.56425023,0.36539513,0.3269623,0.48830223,0.43972945,0.29573447,0.25281802,0.29900593,0.28860432,0.32645947,0.19910806,0.29326758,0.4493058,0.37939045,0.4308251,0.46336174,0.29840136,0.26960355,0.31478238,0.40177742,0.45675147,0.21940207,0.29242712,0.2795048,0.20166104,0.17845348,0.21304792,0.31068495,0.2828042,0.33993474,0.29812676,0.3318455,0.29395974
SS15,0.62195903,0.46057913,0.5274427,0.50851274,1.0,0.44646037,0.53008795,0.6733197,0.515429,0.46933886,0.48348695,0.54005927,0.44841415,0.40777618,0.31864333,0.4173153,0.34872022,0.38427147,0.32336614,0.523257,0.3951878,0.4860171,0.54441476,0.34052968,0.46451014,0.37422204,0.3563602,0.37169313,0.33441627,0.42582875,0.32034695,0.35436487,0.3883939,0.44789606,0.48877603,0.44591555,0.35228777,0.4643385,0.46426296,0.47729546,0.40610453,0.39347914,0.37520552,0.42228472,0.39310405,0.39728752,0.4205162,0.43121332,0.42718938,0.428248,0.42806566,0.34252906,0.3045663,0.39585572,0.36506882,0.4942488,0.46976054,0.43479535,0.40211636,0.35693625,0.3055799,0.3448061,0.48847649,0.39158016,0.39894795,0.39357907,0.6451951,0.52429473,0.5002134,0.45806968,0.34430662,0.46092278,0.3979749,0.36069238,0.37026748,0.45955667,0.3908188,0.40952206,0.42345852,0.37300178,0.5463702,0.35791448,0.3979356,0.39069504,0.42977142,0.43865973,0.44722676,0.40791863,0.48852718,0.3447991,0.3005801,0.36187372,0.25404,0.39219427,0.32961076,0.31319863,0.37181318,0.4592941,0.5565977,0.48080057,0.39721015
SS16,0.5359603,0.4578054,0.5370931,0.4458532,0.44646037,1.0,0.29543847,0.42456493,0.67408997,0.6828431,0.42014524,0.42777866,0.41723388,0.25925893,0.32464987,0.25439236,0.23442164,0.25833666,0.18187582,0.30821636,0.30591625,0.26264986,0.41665906,0.28098926,0.28425616,0.49910358,0.4851863,0.65377885,0.24787235,0.37705228,0.2792798,0.3132954,0.2043341,0.23426604,0.27093682,0.27165794,0.09197439,0.24157317,0.37215948,0.20183982,0.25366065,0.3653902,0.25832298,0.24799728,0.1966863,0.33588365,0.3715778,0.3107702,0.3598068,0.3173625,0.51807207,0.30770463,0.40215376,0.48250616,0.41165534,0.60956824,0.5845367,0.61937517,0.40272772,0.16122489,0.20431063,0.231794,0.30349153,0.15201311,0.19290367,0.24888358,0.42263973,0.23200677,0.49740916,0.25412804,0.36514232,0.61014664,0.49591804,0.20980914,0.18817513,0.13790703,0.2863342,0.3021363,0.107176304,0.37139824,0.34540004,0.3106464,0.21162458,0.3624813,0.15998173,0.3703031,0.25762913,0.26200747,0.2874364,0.14898282,0.29300404,0.41569215,0.25736886,0.22077775,0.10232063,0.23062885,0.2726921,0.18755847,0.40847635,0.27932528,0.2990797
SS17,0.51864576,0.2026431,0.3627789,0.23837776,0.53008795,0.29543847,0.9999999,0.67547005,0.22219804,0.24246204,0.2503283,0.14960971,0.389296,0.2696424,0.0923969,0.26297542,0.44415784,0.20596342,0.12621264,0.30033243,0.123219065,0.5277453,0.2715587,0.20308486,0.40125886,0.3186839,0.34247047,0.31879613,0.2811903,0.2545973,0.20316848,0.40477672,0.29818943,0.31265792,0.35143027,0.36880594,0.27828187,0.354815,0.2480335,0.39595813,0.23304582,0.27936712,0.19673452,0.35516194,0.50533277,0.29086187,0.28553426,0.33916524,0.22039053,0.4971704,0.2699238,0.124176286,0.18309213,0.15715364,0.1836375,0.33639058,0.2888782,0.20054954,0.42144233,0.3574642,0.24018732,0.36926368,0.47165093,0.33163905,0.34484598,0.44854105,0.6937609,0.51489043,0.40237135,0.33762607,0.26498106,0.34886998,0.34899727,0.33426088,0.43076655,0.413716,0.39092618,0.34765506,0.52791744,0.25465208,0.3550456,0.25339228,0.24153781,0.29402456,0.46410117,0.30733672,0.39879087,0.3819544,0.37158337,0.32795507,0.2821649,0.36104706,0.28607443,0.50562894,0.31561756,0.2594262,0.29634854,0.3800285,0.52062416,0.43392238,0.30501342
SS18,0.6578178,0.3356554,0.4764066,0.42948264,0.6733197,0.42456493,0.67547005,0.99999994,0.40293455,0.41211748,0.44853348,0.32612056,0.46279317,0.36756364,0.2323545,0.35934418,0.38005757,0.31317234,0.29862845,0.38650948,0.25474232,0.49762976,0.47733757,0.22744957,0.4253733,0.39904833,0.4160944,0.39205706,0.33196104,0.36770338,0.28405797,0.39056188,0.37532115,0.42350048,0.47360113,0.43471625,0.32720196,0.45668438,0.44934425,0.46493018,0.3318392,0.421043,0.40002024,0.41038305,0.40245223,0.43225,0.534348,0.49894094,0.3785638,0.4994114,0.42580688,0.2737908,0.29015076,0.38006395,0.38014945,0.51689,0.5233667,0.390316,0.46913493,0.392488,0.32274652,0.40689304,0.5251404,0.37410104,0.41649076,0.5509146,0.76244664,0.5665938,0.52329975,0.40753442,0.2980863,0.4417653,0.4479978,0.40695482,0.54620796,0.45629305,0.48185974,0.41772234,0.50615597,0.21824473,0.5086024,0.46489817,0.35186458,0.41520768,0.5009766,0.28016692,0.54190904,0.4590249,0.48279634,0.38811588,0.33965907,0.3678908,0.3418497,0.4776668,0.34267056,0.32099614,0.3980339,0.47260395,0.5747111,0.5553314,0.36899912
SS19,0.4367294,0.44711214,0.53051364,0.44983572,0.515429,0.67408997,0.22219804,0.40293455,1.0000001,0.9300021,0.5672269,0.72198063,0.5974781,0.32882056,0.35309294,0.28542662,0.31930274,0.33051845,0.24096555,0.36004394,0.3822344,0.3413144,0.48676533,0.35475263,0.39862216,0.5713778,0.5771346,0.6140245,0.30956602,0.4186796,0.35560954,0.4008487,0.44931915,0.4211247,0.47919905,0.4540189,0.34234947,0.43415183,0.61026156,0.3299983,0.48942065,0.5069112,0.42644393,0.4150992,0.36423782,0.30439678,0.4585976,0.3924555,0.46103656,0.404653,0.6326686,0.5429827,0.5154489,0.66540897,0.5910894,0.748462,0.5861529,0.74326044,0.58498913,0.36585504,0.36888403,0.3762822,0.33507636,0.35400903,0.4073072,0.28041425,0.32492894,0.32674447,0.57154655,0.43516847,0.51964444,0.7038952,0.6130831,0.3723276,0.25106934,0.30076748,0.2254117,0.33514705,0.19704409,0.40275866,0.46584332,0.5278738,0.38523477,0.43726322,0.3574949,0.4350527,0.299112,0.34387544,0.4237476,0.35079232,0.35349005,0.54896367,0.33500674,0.30384743,0.3053562,0.3068681,0.50766003,0.34621757,0.52360857,0.3497641,0.362721
SS20,0.4420101,0.3778637,0.53587633,0.42878163,0.46933886,0.6828431,0.24246204,0.41211748,0.9300021,0.9999998,0.5210083,0.64461654,0.6098559,0.30834123,0.30692592,0.2914148,0.3001819,0.3137365,0.20894629,0.34710374,0.3153609,0.34233576,0.4445451,0.31344676,0.35958585,0.57514143,0.5880458,0.61932254,0.32077873,0.41421652,0.37342346,0.42432475,0.40008554,0.4161588,0.45140862,0.43936902,0.3096399,0.4052266,0.5592632,0.3097916,0.467268,0.50823075,0.40197214,0.37971765,0.33952165,0.29904458,0.41691032,0.36108282,0.40993872,0.37683666,0.5813602,0.47433123,0.5203118,0.6523514,0.54422617,0.71097136,0.5552243,0.72377217,0.5740677,0.33424202,0.3428361,0.39278257,0.33101663,0.327262,0.35224736,0.29317474,0.3621382,0.34039402,0.6284227,0.3739665,0.52019584,0.72689617,0.619325,0.37409812,0.24211524,0.29787213,0.19898982,0.30086815,0.20419772,0.37005234,0.44093254,0.5273595,0.35335296,0.41129202,0.33068943,0.38937935,0.26459002,0.30912036,0.39383957,0.33259636,0.38089508,0.5239184,0.3054132,0.3129815,0.2923461,0.3403929,0.47797114,0.32043493,0.5123646,0.30855846,0.30606788
