"","item_name","rep_name","item_scale","rep_in","cos","item_cat","rep_cat","bc_overlap","items","rep_by"
"1","A - Delusions","A1 - Delusions","ICD-11","DSM-5",0.8381101,"Delusions","Delusions",1,"A","A1"
"2","A - Delusions","P1 - Delusions","ICD-11","PANSS",0.7797112,"Delusions","Delusions",1,"A","P1"
"3","A - Delusions","SS45 - Delusions of Sin or Guilt","ICD-11","SANS_SAPS",0.76991326,"Delusions","Delusions",1,"A","SS45"
"4","A1 - Delusions","A - Delusions","DSM-5","ICD-11",0.8381101,"Delusions","Delusions",1,"A1","A"
"5","A1 - Delusions","P1 - Delusions","DSM-5","PANSS",0.85109174,"Delusions","Delusions",1,"A1","P1"
"6","A1 - Delusions","SS46 - Grandiose Delusions","DSM-5","SANS_SAPS",0.77625537,"Delusions","Delusions",1,"A1","SS46"
"7","A2 - Hallucinations","B - Hallucinations","DSM-5","ICD-11",0.7955619,"Hallucinations","Hallucinations",1,"A2","B"
"8","A2 - Hallucinations","P3 - Hallucinatory behaviour","DSM-5","PANSS",0.78558356,"Hallucinations","Hallucinations",1,"A2","P3"
"9","A2 - Hallucinations","SS42 - Global Rating of Severity of Hallucinations","DSM-5","SANS_SAPS",0.79486847,"Hallucinations","Hallucinations",1,"A2","SS42"
"10","A3 - Disorganized thinking","C - Disorganized thinking","DSM-5","ICD-11",0.834967,"Disorganized thinking","Disorganized thinking",1,"A3","C"
"11","A3 - Disorganized thinking","P2 - Conceptual disorganisation","DSM-5","PANSS",0.64897346,"Disorganized thinking","Disorganized thinking",1,"A3","P2"
"12","A3 - Disorganized thinking","SS63 - Incoherence","DSM-5","SANS_SAPS",0.77871907,"Disorganized thinking","Disorganized thinking",1,"A3","SS63"
"13","A4 - Grossly disorganized or catatoic behaviour","G - Psychomotor disturbances","DSM-5","ICD-11",0.72643507,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"A4","G"
"14","A4 - Grossly disorganized or catatoic behaviour","G13 - Disturbance of volition","DSM-5","PANSS",0.58137536,"Grossly disorganized or catatonic behaviour","Negative symptoms",1,"A4","G13"
"15","A4 - Grossly disorganized or catatoic behaviour","SS35 - Global Rating of Attention","DSM-5","SANS_SAPS",0.53360295,"Grossly disorganized or catatonic behaviour","not in nosologies",0,"A4","SS35"
"16","A5 - Negative symptoms","E - Negative symptoms","DSM-5","ICD-11",0.8667213,"Negative symptoms","Negative symptoms",1,"A5","E"
"17","A5 - Negative symptoms","G6 - Depression","DSM-5","PANSS",0.6460717,"Negative symptoms","not in nosologies",0,"A5","G6"
"18","A5 - Negative symptoms","SS27 - Global Rating of Avolition/Apathy","DSM-5","SANS_SAPS",0.7179503,"Negative symptoms","Negative symptoms",1,"A5","SS27"
"19","B - Hallucinations","A2 - Hallucinations","ICD-11","DSM-5",0.7955619,"Hallucinations","Hallucinations",1,"B","A2"
"20","B - Hallucinations","P3 - Hallucinatory behaviour","ICD-11","PANSS",0.73774195,"Hallucinations","Hallucinations",1,"B","P3"
"21","B - Hallucinations","SS42 - Global Rating of Severity of Hallucinations","ICD-11","SANS_SAPS",0.82609546,"Hallucinations","Hallucinations",1,"B","SS42"
"22","C - Disorganized thinking","A3 - Disorganized thinking","ICD-11","DSM-5",0.8349668,"Disorganized thinking","Disorganized thinking",1,"C","A3"
"23","C - Disorganized thinking","P2 - Conceptual disorganisation","ICD-11","PANSS",0.7626405,"Disorganized thinking","Disorganized thinking",1,"C","P2"
"24","C - Disorganized thinking","SS63 - Incoherence","ICD-11","SANS_SAPS",0.7328256,"Disorganized thinking","Disorganized thinking",1,"C","SS63"
"25","D - Experiences of influence, passivity or control","A1 - Delusions","ICD-11","DSM-5",0.58141625,"Delusions","Delusions",1,"D","A1"
"26","D - Experiences of influence, passivity or control","P3 - Hallucinatory behaviour","ICD-11","PANSS",0.5087564,"Delusions","Hallucinations",0,"D","P3"
"27","D - Experiences of influence, passivity or control","SS50 - Delusions of Being Controlled","ICD-11","SANS_SAPS",0.74005175,"Delusions","Delusions",1,"D","SS50"
"28","E - Negative symptoms","A5 - Negative symptoms","ICD-11","DSM-5",0.8667213,"Negative symptoms","Negative symptoms",1,"E","A5"
"29","E - Negative symptoms","G6 - Depression","ICD-11","PANSS",0.582441,"Negative symptoms","not in nosologies",0,"E","G6"
"30","E - Negative symptoms","SS32 - Global Rating of Anhedonia/Asociality","ICD-11","SANS_SAPS",0.66085774,"Negative symptoms","Negative symptoms",1,"E","SS32"
"31","F - Grossly disorganized behaviour","A4 - Grossly disorganized or catatoic behaviour","ICD-11","DSM-5",0.5831511,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"F","A4"
"32","F - Grossly disorganized behaviour","G14 - Poor impulse control","ICD-11","PANSS",0.5375591,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"F","G14"
"33","F - Grossly disorganized behaviour","SS18 - Inappropriate Affect","ICD-11","SANS_SAPS",0.6100301,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"F","SS18"
"34","G - Psychomotor disturbances","A4 - Grossly disorganized or catatoic behaviour","ICD-11","DSM-5",0.72643507,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"G","A4"
"35","G - Psychomotor disturbances","G13 - Disturbance of volition","ICD-11","PANSS",0.6868627,"Grossly disorganized or catatonic behaviour","Negative symptoms",1,"G","G13"
"36","G - Psychomotor disturbances","SS33 - Social Inattentiveness","ICD-11","SANS_SAPS",0.64896035,"Grossly disorganized or catatonic behaviour","not in nosologies",0,"G","SS33"
"37","G1 - Somatic concern","A1 - Delusions","PANSS","DSM-5",0.53235865,"Delusions","Delusions",1,"G1","A1"
"38","G1 - Somatic concern","G - Psychomotor disturbances","PANSS","ICD-11",0.46052814,"Delusions","Grossly disorganized or catatonic behaviour",0,"G1","G"
"39","G1 - Somatic concern","SS48 - Somatic Delusions","PANSS","SANS_SAPS",0.7273632,"Delusions","Delusions",1,"G1","SS48"
"40","G10 - Disorientation","A1 - Delusions","PANSS","DSM-5",0.49726677,"not in nosologies","Delusions",0,"G10","A1"
"41","G10 - Disorientation","C - Disorganized thinking","PANSS","ICD-11",0.5177836,"not in nosologies","Disorganized thinking",0,"G10","C"
"42","G10 - Disorientation","SS33 - Social Inattentiveness","PANSS","SANS_SAPS",0.5299785,"not in nosologies","not in nosologies",0,"G10","SS33"
"43","G11 - Poor attention","A3 - Disorganized thinking","PANSS","DSM-5",0.47213405,"not in nosologies","Disorganized thinking",0,"G11","A3"
"44","G11 - Poor attention","G - Psychomotor disturbances","PANSS","ICD-11",0.4333588,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"G11","G"
"45","G11 - Poor attention","SS14 - Poor Eye Contact","PANSS","SANS_SAPS",0.61884505,"not in nosologies","Negative symptoms",0,"G11","SS14"
"46","G12 - Lack of judgement and insight","A - Delusions","PANSS","ICD-11",0.6051549,"not in nosologies","Delusions",0,"G12","A"
"47","G12 - Lack of judgement and insight","A1 - Delusions","PANSS","DSM-5",0.65325,"not in nosologies","Delusions",0,"G12","A1"
"48","G12 - Lack of judgement and insight","SS55 - Global Rating of Severity of Delusions","PANSS","SANS_SAPS",0.63830674,"not in nosologies","Delusions",0,"G12","SS55"
"49","G13 - Disturbance of volition","A3 - Disorganized thinking","PANSS","DSM-5",0.63701934,"Negative symptoms","Disorganized thinking",0,"G13","A3"
"50","G13 - Disturbance of volition","G - Psychomotor disturbances","PANSS","ICD-11",0.6868627,"Negative symptoms","Grossly disorganized or catatonic behaviour",1,"G13","G"
"51","G13 - Disturbance of volition","SS66 - Pressure of Speech","PANSS","SANS_SAPS",0.5563401,"Negative symptoms","Disorganized thinking",0,"G13","SS66"
"52","G14 - Poor impulse control","A4 - Grossly disorganized or catatoic behaviour","PANSS","DSM-5",0.5403074,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"G14","A4"
"53","G14 - Poor impulse control","G - Psychomotor disturbances","PANSS","ICD-11",0.58592117,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"G14","G"
"54","G14 - Poor impulse control","SS50 - Delusions of Being Controlled","PANSS","SANS_SAPS",0.5407917,"Grossly disorganized or catatonic behaviour","Delusions",0,"G14","SS50"
"55","G15 - Preoccupation","A4 - Grossly disorganized or catatoic behaviour","PANSS","DSM-5",0.539187,"not in nosologies","Grossly disorganized or catatonic behaviour",1,"G15","A4"
"56","G15 - Preoccupation","G - Psychomotor disturbances","PANSS","ICD-11",0.5551443,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"G15","G"
"57","G15 - Preoccupation","SS33 - Social Inattentiveness","PANSS","SANS_SAPS",0.5270736,"not in nosologies","not in nosologies",0,"G15","SS33"
"58","G16 - Active social avoidance","A5 - Negative symptoms","PANSS","DSM-5",0.55005455,"Grossly disorganized or catatonic behaviour","Negative symptoms",1,"G16","A5"
"59","G16 - Active social avoidance","G - Psychomotor disturbances","PANSS","ICD-11",0.5613895,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",0,"G16","G"
"60","G16 - Active social avoidance","SS33 - Social Inattentiveness","PANSS","SANS_SAPS",0.59938365,"Grossly disorganized or catatonic behaviour","not in nosologies",0,"G16","SS33"
"61","G2 - Anxiety","A4 - Grossly disorganized or catatoic behaviour","PANSS","DSM-5",0.46695524,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"G2","A4"
"62","G2 - Anxiety","G - Psychomotor disturbances","PANSS","ICD-11",0.5066434,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"G2","G"
"63","G2 - Anxiety","SS26 - Physical Anergia","PANSS","SANS_SAPS",0.515983,"not in nosologies","Negative symptoms",0,"G2","SS26"
"64","G3 - Guilt feelings","A - Delusions","PANSS","ICD-11",0.53610206,"Delusions","Delusions",1,"G3","A"
"65","G3 - Guilt feelings","A1 - Delusions","PANSS","DSM-5",0.53174436,"Delusions","Delusions",1,"G3","A1"
"66","G3 - Guilt feelings","SS45 - Delusions of Sin or Guilt","PANSS","SANS_SAPS",0.6149637,"Delusions","Delusions",1,"G3","SS45"
"67","G4 - Tension","G - Psychomotor disturbances","PANSS","ICD-11",0.5711772,"not in nosologies","Grossly disorganized or catatonic behaviour",1,"G4","G"
"68","G4 - Tension","SS66 - Pressure of Speech","PANSS","SANS_SAPS",0.55053616,"not in nosologies","Disorganized thinking",0,"G4","SS66"
"69","G4 - Tension",NA,"PANSS","DSM-5",0,"not in nosologies",NA,NA,"G4",NA
"70","G5 - Mannerisms and posturing","A4 - Grossly disorganized or catatoic behaviour","PANSS","DSM-5",0.542063,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"G5","A4"
"71","G5 - Mannerisms and posturing","G - Psychomotor disturbances","PANSS","ICD-11",0.58137894,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"G5","G"
"72","G5 - Mannerisms and posturing","SS57 - Social and Sexual Behavior","PANSS","SANS_SAPS",0.5647616,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",0,"G5","SS57"
"73","G6 - Depression","A5 - Negative symptoms","PANSS","DSM-5",0.6460717,"not in nosologies","Negative symptoms",0,"G6","A5"
"74","G6 - Depression","E - Negative symptoms","PANSS","ICD-11",0.58244115,"not in nosologies","Negative symptoms",0,"G6","E"
"75","G6 - Depression","SS18 - Inappropriate Affect","PANSS","SANS_SAPS",0.46966255,"not in nosologies","Grossly disorganized or catatonic behaviour",0,"G6","SS18"
"76","G7 - Motor retardation","A3 - Disorganized thinking","PANSS","DSM-5",0.47275528,"Negative symptoms","Disorganized thinking",0,"G7","A3"
"77","G7 - Motor retardation","G - Psychomotor disturbances","PANSS","ICD-11",0.5869252,"Negative symptoms","Grossly disorganized or catatonic behaviour",1,"G7","G"
"78","G7 - Motor retardation","SS26 - Physical Anergia","PANSS","SANS_SAPS",0.5261064,"Negative symptoms","Negative symptoms",0,"G7","SS26"
"79","G8 - Uncooperativeness","A4 - Grossly disorganized or catatoic behaviour","PANSS","DSM-5",0.43309936,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"G8","A4"
"80","G8 - Uncooperativeness","G - Psychomotor disturbances","PANSS","ICD-11",0.6294535,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"G8","G"
"81","G8 - Uncooperativeness","SS33 - Social Inattentiveness","PANSS","SANS_SAPS",0.5298432,"Grossly disorganized or catatonic behaviour","not in nosologies",0,"G8","SS33"
"82","G9 - Unusual thought content","A1 - Delusions","PANSS","DSM-5",0.53775644,"Delusions","Delusions",1,"G9","A1"
"83","G9 - Unusual thought content","C - Disorganized thinking","PANSS","ICD-11",0.49401525,"Delusions","Disorganized thinking",0,"G9","C"
"84","G9 - Unusual thought content","SS53 - Thought Insertion","PANSS","SANS_SAPS",0.55913407,"Delusions","Delusions",0,"G9","SS53"
"85","N1 - Blunted affect","A5 - Negative symptoms","PANSS","DSM-5",0.57433635,"Negative symptoms","Negative symptoms",1,"N1","A5"
"86","N1 - Blunted affect","F - Grossly disorganized behaviour","PANSS","ICD-11",0.5307604,"Negative symptoms","Grossly disorganized or catatonic behaviour",1,"N1","F"
"87","N1 - Blunted affect","SS18 - Inappropriate Affect","PANSS","SANS_SAPS",0.7352466,"Negative symptoms","Grossly disorganized or catatonic behaviour",1,"N1","SS18"
"88","N2 - Emotional withdrawl -","A5 - Negative symptoms","PANSS","DSM-5",0.49922624,"Negative symptoms","Negative symptoms",1,"N2","A5"
"89","N2 - Emotional withdrawl -","E - Negative symptoms","PANSS","ICD-11",0.5122694,"Negative symptoms","Negative symptoms",1,"N2","E"
"90","N2 - Emotional withdrawl -","SS33 - Social Inattentiveness","PANSS","SANS_SAPS",0.55740637,"Negative symptoms","not in nosologies",0,"N2","SS33"
"91","N3 - Poor rapport","A5 - Negative symptoms","PANSS","DSM-5",0.439774,"Negative symptoms","Negative symptoms",1,"N3","A5"
"92","N3 - Poor rapport","G - Psychomotor disturbances","PANSS","ICD-11",0.48244116,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"N3","G"
"93","N3 - Poor rapport","SS14 - Poor Eye Contact","PANSS","SANS_SAPS",0.68851554,"Negative symptoms","Negative symptoms",1,"N3","SS14"
"94","N4 - Passive/apathetic social withdrawl","A5 - Negative symptoms","PANSS","DSM-5",0.47615105,"Negative symptoms","Negative symptoms",1,"N4","A5"
"95","N4 - Passive/apathetic social withdrawl","G - Psychomotor disturbances","PANSS","ICD-11",0.56213766,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"N4","G"
"96","N4 - Passive/apathetic social withdrawl","SS33 - Social Inattentiveness","PANSS","SANS_SAPS",0.5950333,"Negative symptoms","not in nosologies",0,"N4","SS33"
"97","N5 - Difficulty in abstract thinking","C - Disorganized thinking","PANSS","ICD-11",0.53135645,"not in nosologies","Disorganized thinking",0,"N5","C"
"98","N5 - Difficulty in abstract thinking","SS51 - Delusions of Mind Reading","PANSS","SANS_SAPS",0.5133418,"not in nosologies","Delusions",0,"N5","SS51"
"99","N5 - Difficulty in abstract thinking",NA,"PANSS","DSM-5",0,"not in nosologies",NA,NA,"N5",NA
"100","N6 - Lack of spontaneity and flow of conversation","A3 - Disorganized thinking","PANSS","DSM-5",0.5829036,"Negative symptoms","Disorganized thinking",0,"N6","A3"
"101","N6 - Lack of spontaneity and flow of conversation","G - Psychomotor disturbances","PANSS","ICD-11",0.55121297,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"N6","G"
